id,created_at,text
1113849538261991424,2019-04-04 17:03:18,b'Chicago! Im slinging jokes in your town in June! Come get some! https://t.co/GqAep158RN https://t.co/uRVpGIlDU6'
1113652185848369152,2019-04-04 03:59:06,"b""Scientists discover first organism with chlorophyll genes that doesn't photosynthesize https://t.co/X26qIiWncB via @UBCnews @EurekAlert"""
1113625419499089920,2019-04-04 02:12:44,b'I just uploaded JRE #1277 - Gabrielle Reece to #Vimeo: https://t.co/p0AZha3NXJ'
1113591634057474066,2019-04-03 23:58:29,b'I just uploaded JRE #1276 - Ben Shapiro to #Vimeo: https://t.co/x5RLxcUOcS'
1113521537322246144,2019-04-03 19:19:57,b'About to go live with the brilliant and powerful @gabbyreece https://t.co/GqAep158RN https://t.co/EsawIflB0Q'
1113473280562925570,2019-04-03 16:08:12,"b'About to go live with one of the misunderstood and misrepresented people I know, officialbenshapiro https://t.co/ypOzfu1Yo3'"
1113342407133868032,2019-04-03 07:28:09,b'We will love in the dark. https://t.co/KHmOhxNOGm'
1113288162414088192,2019-04-03 03:52:36,b'I just uploaded JRE #1275 - Luis J. Gomez to #Vimeo: https://t.co/V5OFXDqTkk'
1113281440647667712,2019-04-03 03:25:53,"b'I just uploaded JRE MMA Show #60 with Forrest Griffin, Clint Wattenberg &amp; Dr. Duncan French to #Vimeo: https://t.co/fEn09uvyFS'"
1113152698226888704,2019-04-02 18:54:19,b'SEEMS LEGIT https://t.co/fB6lJ0f9Tg'
1113151656802349056,2019-04-02 18:50:10,"b'The podcast returns, live in five  with @luisjgomez! Rejoice!\nhttps://t.co/GqAep158RN https://t.co/kN4PI3kCFl'"
1113008586907504640,2019-04-02 09:21:40,b'How the brain fights off fears that return to haunt us https://t.co/DljZYKz8Ba via @medical_xpress'
1112441950798577665,2019-03-31 19:50:03,b'@timjdillon is what comedy needs right now. \n#Repost @timjdillon with rep0stapp\n            \nMeghan McCain r https://t.co/e6XBjeZxFV'
1112437211524464640,2019-03-31 19:31:13,b'My friend @timjdillon is a national treasure. \n#Repost @timjdillon with rep0stapp\n            \nI went and vi https://t.co/Psj2GJIQhg'
1112430853391552512,2019-03-31 19:05:58,"b'To be considered the most violent man in the most violent sport in the world is a fucking crazy position, but in my https://t.co/1ApF9I88Da'"
1112428304341045253,2019-03-31 18:55:50,b'San Diego! Were less than a month away! @tonyhinchcliffe @cheetosantino and me! http://joerogan..com https://t.co/ercRJxq5lZ'
1112066474364014592,2019-03-30 18:58:03,"b'#Repost marshallmaerogan with rep0stapp\n            \nJamie, pull up the stats of how many people want me on https://t.co/ILKLrQSdKr'"
1112053178340507653,2019-03-30 18:05:13,b'LA! Im at @HollywoodImprov this Tuesday and Wednesday tues w @donnellrawlings @TonyHinchcliffe @notalimac \nWeds w https://t.co/lR8bcbZe8k'
1111486495460724736,2019-03-29 04:33:25,"b'I really enjoyed talking to the brilliant @NAChristakis today!  I\'m about to dive into his book, ""BLUEPRINT: The Ev https://t.co/JUMGrzi16F'"
1111381087630950400,2019-03-28 21:34:34,b'I just uploaded JRE #1274 - Nicholas Christakis to #Vimeo: https://t.co/irSzsVseuy'
1111296828866125825,2019-03-28 15:59:45,"b'Going live with Nicholas Christakis, author of Blueprint The Evolutionary Origins Of A Good Society @YINSedge https://t.co/hJemjKiWqG'"
1111125958399086592,2019-03-28 04:40:46,"b'So, against my better judgement we set up a computer game room in the studio and Ive rekindled my quake addiction. https://t.co/6Y7EJ3KXz1'"
1110950785725145088,2019-03-27 17:04:42,b'Chicago! Pre-sale Tickets for my June 7 show are available now. https://t.co/Dz34MhERn7 password is: ROGAN https://t.co/zMNDcl4Cjj'
1110941939782709249,2019-03-27 16:29:33,b'Ice Samples Reveal a Massive Sun Storm Hit Earth in Ancient Times...And It Could Happen Again https://t.co/Q4c051Qi0Q'
1110794845935857664,2019-03-27 06:45:03,"b'Chilling backstage at @thecomedystore with my brother in comedy, @ryansickler https://t.co/eC25kALHPS'"
1110771489261973504,2019-03-27 05:12:14,b'Powerful jumbo photo of @brodyismefriend at @thecomedystore https://t.co/MG4bObcayj'
1110750465191485440,2019-03-27 03:48:42,b'I just uploaded Joe Rogan Experience #1273 - Ron Funches to #Vimeo: https://t.co/xDYMmFBoqF'
1110746843548446721,2019-03-27 03:34:18,b'Sitting in the back of @hollywoodimprov watching zofunny destroy it. Outstanding set!! https://t.co/CG17JmrBcP'
1110746515562250240,2019-03-27 03:33:00,b'I just uploaded JRE #1272 - Lindsey Fitzharris to #Vimeo: https://t.co/vWl7wTIANA'
1110663300528906247,2019-03-26 22:02:20,b'The hilarious and powerful @RonFunches is here! https://t.co/GqAep158RN https://t.co/zGIqnZbUK3'
1110620584554184705,2019-03-26 19:12:36,b'Strap in and have a barf bag ready! drlindseyfitzharris author of The Butchering Art is here! https://t.co/MjaH1Byigd'
1110601885663191040,2019-03-26 17:58:18,b'Chicago! Tickets go on pre-sale tomorrow at noon! Password is: ROGAN https://t.co/QaS20jiVOG https://t.co/Sb8wlMt7LT'
1110401483433000960,2019-03-26 04:41:58,b'Chicago! Pre-sale tickets are available this Wednesday! https://t.co/vDHRmRkliq'
1110388034296598528,2019-03-26 03:48:32,b'https://t.co/kIu2N81HdV now has JRE pop sockets. (Adorable case created by my daughter not included) https://t.co/noro1ZZ9oV'
1110373576174120961,2019-03-26 02:51:04,b'I just uploaded JRE #1271 - Billy Corben to #Vimeo: https://t.co/nyFOiLSkf2'
